Date,Form,Opposition,Season,Venue,Previous_Match,UEFA,Outcome
28/4/2018,Poor,Easy,Late,Home,0,Active,No_win
6/5/2018,Poor,Tough,Late,Away,0,Active,No_win
13/5/2018,Poor,Easy,Late,Home,0,Active,Win
12/8/2018,Top,Easy,Early,Home,1,Active,Win
20/8/2018,Top,Medium,Early,Away,1,Active,Win
25/8/2018,Top,Easy,Early,Home,1,Active,Win
1/9/2018,Top,Medium,Early,Away,1,Active,Win
15/9/2018,Top,Tough,Early,Away,1,Active,Win
22/9/2018,Top,Easy,Early,Home,1,Active,Win
29/9/2018,Top,Tough,Early,Away,1,Active,No_win
7/10/2018,Top,Tough,Early,Home,0,Active,No_win
20/10/2018,Decent,Easy,Early,Away,0,Active,Win
27/10/2018,Decent,Easy,Early,Home,1,Active,Win
3/11/2018,Decent,Tough,Early,Away,1,Active,No_win
11/11/2018,Poor,Easy,Middle,Home,0,Active,Win
24/11/2018,Decent,Medium,Middle,Away,1,Active,Win
2/12/2018,Top,Medium,Middle,Home,1,Active,Win
5/12/2018,Top,Easy,Middle,Away,1,Active,Win
8/12/2018,Top,Medium,Middle,Away,1,Active,Win
16/12/2018,Top,Tough,Middle,Home,1,Active,Win
21/12/2018,Top,Medium,Middle,Away,1,Active,Win
26/12/2018,Top,Easy,Middle,Home,1,Active,Win
29/12/2018,Top,Tough,Middle,Home,1,Active,Win
3/1/2019,Top,Tough,Middle,Away,1,Active,No_win
12/1/2019,Top,Easy,Middle,Away,0,Active,Win
19/1/2019,Top,Easy,Middle,Home,1,Active,Win
30/1/2019,Top,Medium,Middle,Home,1,Active,No_win
4/2/2019,Decent,Medium,Middle,Away,0,Active,No_win
9/2/2019,Poor,Medium,Middle,Home,0,Active,Win
24/2/2019,Decent,Tough,Middle,Away,1,Active,No_win
27/2/2019,Poor,Medium,Middle,Home,0,Active,Win
3/3/2019,Poor,Medium,Middle,Away,1,Active,No_win
10/3/2019,Poor,Easy,Middle,Home,0,Active,Win
17/3/2019,Decent,Easy,Late,Away,1,Active,Win
31/3/2019,Decent,Tough,Late,Home,1,Active,Win
5/4/2019,Top,Easy,Late,Away,1,Active,Win
14/4/2019,Top,Tough,Late,Home,1,Active,Win
21/4/2019,Top,Easy,Late,Away,1,Active,Win
26/4/2019,Top,Easy,Late,Home,1,Active,Win
4/5/2019,Top,Easy,Late,Away,1,Active,Win
12/5/2019,Top,Medium,Late,Home,1,Active,Win
9/8/2019,Top,Easy,Early,Home,1,Active,Win
17/8/2019,Top,Easy,Early,Away,1,Active,Win
24/8/2019,Top,Tough,Early,Home,1,Active,Win
31/8/2019,Top,Tough,Early,Away,1,Active,Win
14/9/2019,Top,Easy,Early,Home,1,Active,Win
22/9/2019,Top,Tough,Early,Away,1,Active,Win
28/9/2019,Top,Medium,Early,Away,1,Active,Win
5/10/2019,Top,Tough,Early,Home,1,Active,Win
20/10/2019,Top,Medium,Early,Away,1,Active,No_win
27/10/2019,Top,Tough,Early,Home,0,Active,Win
2/11/2019,Top,Easy,Early,Away,1,Active,Win
10/11/2019,Top,Tough,Early,Home,1,Active,Win
23/11/2019,Top,Medium,Middle,Away,1,Active,Win
30/11/2019,Top,Medium,Middle,Home,1,Active,Win
4/12/2019,Top,Easy,Middle,Home,1,Active,Win
7/12/2019,Top,Easy,Middle,Away,1,Active,Win
14/12/2019,Top,Easy,Middle,Home,1,Active,Win
26/12/2019,Top,Tough,Middle,Away,1,Active,Win
29/12/2019,Top,Tough,Middle,Home,1,Active,Win
